experiment,λ,c,time,queue,busy
4,0.3,2,22569.028121411822,0,0
4,0.3,2,22635.60342560478,0,0
4,0.3,2,22702.17872979773,0,0
4,0.3,2,22768.75403399069,0,0
4,0.3,2,22835.329338183645,0,0
4,0.3,2,22901.904642376598,0,0
4,0.3,2,22968.479946569554,0,2
4,0.3,2,23035.055250762507,0,0
4,0.3,2,23101.630554955464,0,1
4,0.3,2,23168.20585914842,0,2
4,0.3,2,23234.781163341373,0,0
4,0.3,2,23301.35646753433,0,1
4,0.3,2,23367.931771727286,0,1
4,0.3,2,23434.50707592024,0,1
4,0.3,2,23501.082380113196,0,0
4,0.3,2,23567.657684306152,0,1
4,0.3,2,23634.232988499105,0,1
4,0.3,2,23700.80829269206,0,0
4,0.3,2,23767.383596885014,0,0
4,0.3,2,23833.95890107797,0,0
4,0.3,2,23900.534205270927,0,1
4,0.3,2,23967.10950946388,0,1
4,0.3,2,24033.684813656837,0,0
4,0.3,2,24100.260117849793,0,1
4,0.3,2,24166.835422042746,0,0
4,0.3,2,24233.410726235703,0,0
4,0.3,2,24299.98603042866,0,1
4,0.3,2,24366.561334621612,0,2
4,0.3,2,24433.13663881457,0,2
4,0.3,2,24499.711943007525,0,0
4,0.3,2,24566.28724720048,0,2
4,0.3,2,24632.862551393435,0,0
4,0.3,2,24699.437855586388,0,0
4,0.3,2,24766.013159779344,0,1
4,0.3,2,24832.5884639723,0,1
4,0.3,2,24899.163768165254,1,2
4,0.3,2,24965.73907235821,0,1
4,0.3,2,25032.314376551167,0,1
4,0.3,2,25098.88968074412,0,0
4,0.3,2,25165.464984937076,0,1
4,0.3,2,25232.040289130033,0,1
4,0.3,2,25298.615593322986,0,0
4,0.3,2,25365.190897515942,0,0
4,0.3,2,25431.766201708895,0,1
4,0.3,2,25498.34150590185,0,0
4,0.3,2,25564.916810094808,0,0
4,0.3,2,25631.49211428776,0,1
4,0.3,2,25698.067418480718,0,0
4,0.3,2,25764.642722673674,0,1
4,0.3,2,25831.218026866627,0,1
4,0.3,2,25897.793331059584,0,1
4,0.3,2,25964.36863525254,0,0
4,0.3,2,26030.943939445493,0,1
4,0.3,2,26097.51924363845,0,1
4,0.3,2,26164.094547831406,0,0
4,0.3,2,26230.66985202436,0,0
4,0.3,2,26297.245156217316,0,0
4,0.3,2,26363.82046041027,0,1
4,0.3,2,26430.395764603225,0,0
4,0.3,2,26496.97106879618,0,0
4,0.3,2,26563.546372989134,0,1
4,0.3,2,26630.12167718209,0,1
4,0.3,2,26696.696981375047,0,0
4,0.3,2,26763.272285568,0,0
4,0.3,2,26829.847589760957,0,0
4,0.3,2,26896.422893953913,0,1
4,0.3,2,26962.998198146866,0,0
4,0.3,2,27029.573502339823,0,1
4,0.3,2,27096.148806532776,0,1
4,0.3,2,27162.724110725732,0,0
4,0.3,2,27229.29941491869,0,0
4,0.3,2,27295.87471911164,0,1
4,0.3,2,27362.4500233046,0,1
4,0.3,2,27429.025327497555,0,0
4,0.3,2,27495.600631690508,0,0
4,0.3,2,27562.175935883464,0,0
4,0.3,2,27628.75124007642,0,0
4,0.3,2,27695.326544269374,0,1
4,0.3,2,27761.90184846233,0,0
4,0.3,2,27828.477152655287,0,0
4,0.3,2,27895.05245684824,0,2
4,0.3,2,27961.627761041196,0,0
4,0.3,2,28028.20306523415,0,1
4,0.3,2,28094.778369427106,0,1
4,0.3,2,28161.353673620062,0,1
4,0.3,2,28227.928977813015,0,0
4,0.3,2,28294.50428200597,0,1
4,0.3,2,28361.079586198928,0,0
4,0.3,2,28427.65489039188,0,1
4,0.3,2,28494.230194584838,0,1
4,0.3,2,28560.805498777794,0,0
4,0.3,2,28627.380802970747,0,0
4,0.3,2,28693.956107163704,0,1
4,0.3,2,28760.531411356656,0,1
4,0.3,2,28827.106715549613,0,0
4,0.3,2,28893.68201974257,0,1
4,0.3,2,28960.257323935522,0,0
4,0.3,2,29026.83262812848,0,1
4,0.3,2,29093.407932321436,0,1
4,0.3,2,29159.98323651439,0,0
4,0.3,2,29226.558540707345,0,0
4,0.3,2,29293.1338449003,0,0
4,0.3,2,29359.709149093254,0,0
4,0.3,2,29426.28445328621,0,1
4,0.3,2,29492.859757479167,0,1
4,0.3,2,29559.43506167212,0,2
4,0.3,2,29626.010365865077,0,1
4,0.3,2,29692.58567005803,0,2
4,0.3,2,29759.160974250986,0,0
4,0.3,2,29825.736278443943,0,0
4,0.3,2,29892.311582636896,0,0
4,0.3,2,29958.886886829852,0,1
4,0.3,2,30025.46219102281,0,0
4,0.3,2,30092.03749521576,0,0
4,0.3,2,30158.61279940872,0,0
4,0.3,2,30225.188103601675,0,0
4,0.3,2,30291.763407794628,0,1
4,0.3,2,30358.338711987584,0,1
4,0.3,2,30424.914016180537,0,2
4,0.3,2,30491.489320373494,0,1
4,0.3,2,30558.06462456645,1,2
4,0.3,2,30624.639928759403,0,1
4,0.3,2,30691.21523295236,0,1
4,0.3,2,30757.790537145316,0,2
4,0.3,2,30824.36584133827,0,0
4,0.3,2,30890.941145531226,0,0
4,0.3,2,30957.516449724182,0,0
4,0.3,2,31024.091753917135,0,1
4,0.3,2,31090.66705811009,0,0
4,0.3,2,31157.242362303048,0,1
