t,S,I,R
4.01,957.0894914169321,26.02339080720807,16.88711777585916
4.02,956.9646984812639,26.08305071604395,16.95225080269151
4.03,956.8396358182143,26.14283105198975,17.017533129795293
4.04,956.7143029607454,26.20273198080848,17.08296505844551
4.05,956.5886994415562,26.26275366811183,17.148546890331392
4.06,956.4628247930856,26.32289627935781,17.214278927556006
4.07,956.3366785475151,26.3831599798484,17.280161472635875
4.08,956.2102602367717,26.443544934727186,17.34619482850056
4.09,956.0835693925301,26.504051308977004,17.412379298492304
4.1,955.9566055462162,26.564679267417564,17.47871518636559
4.11,955.8293682290096,26.625428974703045,17.545202796286755
4.12,955.7018569718462,26.686300595319693,17.61184243283354
4.13,955.5740713054213,26.747294293583437,17.67863440099471
4.14,955.4460107601924,26.808410233637442,17.7455790061696
4.15,955.317674866382,26.869648579449706,17.812676554167684
4.16,955.1890631539808,26.93100949481058,17.879927351208128
4.17,955.0601751527498,26.99249314333037,17.947331703919353
4.18,954.9310103922242,27.05409968843684,18.014889919338586
4.19,954.8015684017155,27.11582929337275,18.082602304911386
4.2,954.6718487103151,27.177682121193378,18.150469168491178
4.21,954.5418508468969,27.239658334764034,18.218490818338797
4.22,954.4115743401202,27.301758096757556,18.286667563122002
4.23,954.281018718433,27.363981569651802,18.354999711914992
4.24,954.1501835100747,27.42632891572711,18.423487574197903
4.25,954.0190682430796,27.488800297063804,18.49213145985633
4.26,953.8876724452792,27.551395875539615,18.560931679180822
4.27,953.7559956443062,27.61411581282716,18.629888542866357
4.28,953.6240373675964,27.67696027039136,18.699002362011846
4.29,953.4917971423932,27.73992940948686,18.768273448119583
4.3,953.3592744957494,27.80302339115548,18.837702113094746
4.31,953.2264689545312,27.866242376223603,18.907288669244846
4.32,953.093380045421,27.929586525299566,18.977033429279196
4.33,952.9600072949204,27.993055998771045,19.046936706308333
4.34,952.8263502293538,28.05665095680245,19.116998813843505
4.35,952.6924083748714,28.12037155933228,19.18722006579608
4.36,952.5581812574524,28.184217966070488,19.257600776477
4.37,952.4236684029079,28.248190336495796,19.328141260596166
4.38,952.2888693368849,28.31228882985307,19.39884183326191
4.39,952.1537835848688,28.376513605150624,19.46970280998037
4.4,952.0184106721874,28.440864821157543,19.540724506654914
4.41,951.8827501240135,28.505342636400968,19.611907239585513
4.42,951.7468014653683,28.56994720916342,19.68325132546817
4.43,951.6105642211256,28.63467869748006,19.754757081394278
4.44,951.474037916014,28.699537259135976,19.82642482485001
4.45,951.337222074621,28.764523051663424,19.898254873715675
4.46,951.2001162213959,28.829636232339116,19.970247546265103
4.47,951.0627198806537,28.89487695818143,20.042403161164994
4.48,950.9250325765782,28.960245385947665,20.114722037474273
4.49,950.7870538332255,29.02574167213123,20.187204494643407
4.5,950.6487831745275,29.091365972958886,20.259850852513786
4.51,950.5102201242952,29.157118444387947,20.33266143131702
4.52,950.3713642062224,29.222999242103445,20.405636551674284
4.53,950.2322149438892,29.289008521515328,20.478776534595614
4.54,950.0927718607653,29.355146437755614,20.55208170147921
4.55,949.9530344802138,29.421413145675572,20.62555237411078
4.56,949.8130023254945,29.487808799842853,20.699188874662784
4.57,949.6726749197677,29.554333554538633,20.77299152569376
4.58,949.5320517860978,29.62098756375473,20.846960650147572
4.59,949.3911324474566,29.687770981190745,20.921096571352706
4.6,949.2499164267274,29.754683960251146,20.995399613021533
4.61,949.1084032467081,29.821726654042376,21.069870099249567
4.62,948.9665924301155,29.888899215369914,21.144508354514688
4.63,948.8244834995883,29.95620179673539,21.219314703676435
4.64,948.6820759776913,30.02363455033362,21.294289471975212
4.65,948.5393693869189,30.091197628049684,21.36943298503153
4.66,948.396363249699,30.15889118145592,21.4447455688452
4.67,948.2530570883965,30.226715361809024,21.520227549794587
4.68,948.1094504253173,30.29467032004702,21.595879254635804
4.69,947.9655427827119,30.36275620678631,21.671701010501902
4.7,947.8213336827794,30.43097317231863,21.74769314490206
4.71,947.6768226476712,30.499321366608086,21.823855985720783
4.72,947.5320091994948,30.567800939288116,21.90018986121708
4.73,947.386892860318,30.63641203965846,21.976695100023626
4.74,947.241473152172,30.705154816682107,22.053372031145912
4.75,947.0957495970564,30.774029418982273,22.130220983961422
4.76,946.949721716942,30.84303599483932,22.207242288218776
4.77,946.8033890337756,30.91217469218768,22.284436274036853
4.78,946.6567510694834,30.9814456586128,22.36180327190394
4.79,946.5098073459753,31.050849041348,22.439343612676836
4.8,946.3625573851488,31.120384987271418,22.517057627579995
4.81,946.2150007088927,31.19005364290288,22.594945648204607
4.82,946.0671368390917,31.25985515440077,22.67300800650773
4.83,945.91896529763,31.32978966755889,22.751245034811326
4.84,945.7704856063955,31.399857327803335,22.829657065801417
4.85,945.6216972872838,31.470058280189317,22.908244432527116
4.86,945.4725998622025,31.54039266939802,22.987007468399714
4.87,945.3231928530752,31.610860639733392,23.06594650719171
4.88,945.1734757818454,31.681462335118994,23.145061883035915
4.89,945.0234481704811,31.75219789909478,23.224353930424456
4.9,944.8731095409786,31.823067474813904,23.30382298420784
